SERVICES;Communications à des tiers;;;;Viralité des conditions de réutilisation des données personnelles par les tiers;;;;Information préalable pour la communication des données personnelles à des tiers en cas de fusion;;;;Finalité de la réutilisation des données personnelles collectées;;;;Aggrégation des données;;;;Données d’identité;;;;Identifiants électroniques;;;;Informations publiques / données de profil;;;;Données de localisation;;;;Données dans le terminal;;;Cookies;;;;Pixels espion;;;;Délai d’anonymisation;;;
;opt-in pour sollicitation commerciale sauf pour produits et services équivalents/ modification CGV / opt-in prospection commerciale;Marketing direct avec restrictions liées aux destinataires, aux centres d’intérêts ou aux supports;Communication des DP à des tiers pour marketing direct;Autre;Services de publicité, de mesure et d’analyse (uniquement des informations qui ne permettent pas de vous identifier personnellement).;Engagement sur la viralité des conditions / sur la non divulgation des données par les tiers;Pas d’engagement sur la viralité des présentes conditions ou sur la divulgation par les tiers selon les mêmes conditions;Autre;Collecte opt-in préalable à la fusion;Information préalable pour opt-out cas de fusion;Pas d’information préalable transmission en cas de fusion;Autre;Pour finalité statistique et la facturation;Pour fournir le service et les offres adaptées;Pour les collecter, les utiliser, les agréger, les transférer, les divulguer à quelque fin que se soit;Autre;Pas d’agrégation;Agrégation DP avec données non personnelles;Agrégation avec l’ensemble des DP disponibles;Autre;Uniquement pour et pendant la fourniture du service et pendant l’exécution du contrat;Opt-in préalable pour communicabilité des données d’identification à des tiers (mots de passe...);Communicabilité des données d’identification (nom, prenom...) à des tiers (hors autorité);Autre;Uniquement pour et pendant la fourniture du service et pendant l’exécution du contrat;Fusion des identifiants plusieurs services de l’entreprise/ transmission à des tiers pour fusion des identifiants ou recherche d’amis présents;Agrégation des identifiants avec tiers / utilisation des comptes de messagerie;Autre;Uniquement accessible aux autres utilisateurs;Mise à disposition des partenaires pour référencement et agrégation (avec opt-in);Mise à disposition publique pour référencement et agrégation (avec opt-out);Autre;Uniquement pour et pendant la fourniture de service/ conservation limitée aux obligations légales;Mise à disposition des partenaires pour référencement et agrégation (avec opt-in);Publication automatique / poursuite de la collecte dans le temps après l’activation / concession de licence d’exploitation perpétuelle;Pas de collecte des données de localisation. ;Pas de collecte;Collecte des données de profilage et des données techniques (dont pub ciblée) pour la fourniture du service;Collecte des données de profilage et des données personnelles pour la fourniture du service;Opt-in : droit pour les internautes d’accepter leur utilisation et de refuser le croisement des données de navigation de leur terminal avec leurs données personnelles;Opt-out : Droit pour les internautes de refuser les cookies;Utilisation nécessaire et possible association avec des données personnelles pour permettre le fonctionnement du service;Autre;Pas d’utilisation;Pour connaître le taux d’ouverture des courriels ou pour finalités légitimes explicitement déterminées;Implémentation sans transparence ni précision sur les finalités;Autre;Suppression dès la suppression du compte / pas de conservation de données anonymisées Conservation systématique si obligation légale;Anonymisation dès la suppression du compte;Anonymisation après la suppression du compte ou après un délai supérieur à 6 mois;Aucune anonymisation voire potentiellement aucune suppression
8Tracks;;;  8tracks may disclose Automatically Collected and other aggregate and/or anonymous non-personally-identifiable information (such as IP addresses, anonymous User usage data, listening preferences, referring or exit pages and URLs, platform types, number of clicks) with interested third parties to assist those parties in understanding the usage and demographic patterns for certain content, services, advertisements, promotions, or other functionality on the 8tracks Platform.  ;;;  We may disclose some limited User information to affiliated companies or other businesses or persons to: provide website hosting, maintenance, and security services, fulfill orders, conduct data analysis and create reports, offer certain functionality, and assist 8tracks in improving the 8tracks Platform and creating new services features. We contractually require that these parties process such information in compliance with this Privacy Policy, we authorize only a limited use of such information, and we require these parties to use reasonable confidentiality measures.  ;;;;;  In the event that 8tracks is acquired by or merged with a third-party entity or ever files for bankruptcy, we reserve the right, in any of these circumstances, to transfer or assign the information that we have collected from Users as part of that merger, acquisition, sale, or other change of control.  ;;;  8tracks uses all of the information that we collect to understand the usage trends and preferences of our Users, to improve the way the 8tracks Platform works and looks, and to create new features and functionality.  ;  tracks may use   Automatically Collected   information and   Cookies   information to: (a) automatically update the 8tracks application on your system, (b) remember your information so that you will not have to re-enter it during your visit or the next time you access the 8tracks Platform, (c) provide customized third-party advertisements, content and information both on and off the 8tracks Platform, (d) monitor and report on the effectiveness of third-party marketing campaigns, (e) monitor and report aggregate usage metrics such as total number of visitors and pages accessed, and (d) track your entries, submissions, and status in any promotions or other activities, and (e) track and enforce any programming limitations adopted by the Service, including by way of example and not limitation, how frequently you may listen to a particular playlist within a defined time period.  ;;;;;;;  8tracks does not share your personally identifiable information with other organizations for their marketing or promotional uses without your prior express consent. Please be aware, however, that any personally identifiable information that you voluntarily choose to display on any publicly available portion of the 8tracks Platform — such as when you publish contact information to complete your profile information — becomes publicly available and may be collected and used by others without restriction.  ;;;;  We may use your email address, without further consent, for administrative communications such as notifying you of major 8tracks Platform updates, for customer service purposes, and to send privacy or security related notices.  ;;;;;;;;;;;;;  When you access the 8tracks Platform, we may send one or more cookies — small text files containing a string of alphanumeric characters — to your computer. 8tracks may use both session cookies and persistent cookies. A session cookie disappears after you close your browser. A persistent cookie remains after you close your browser and may be used by your browser on subsequent visits to the 8tracks Platform in order to improve your experience, as explained in B below. Persistent cookies can be removed. Please review your web browser   Help   file to learn the best way to modify your cookie settings.  ;;;  When you access the 8tracks Platform, we may send one or more cookies — small text files containing a string of alphanumeric characters — to your computer. 8tracks may use both session cookies and persistent cookies. A session cookie disappears after you close your browser. A persistent cookie remains after you close your browser and may be used by your browser on subsequent visits to the 8tracks Platform in order to improve your experience, as explained in B below. Persistent cookies can be removed. Please review your web browser   Help   file to learn the best way to modify your cookie settings.  ;;;;;;;;;
Adopte un mec;Les informations ainsi collecte?es sont destine?es a? e?tre utilise?es exclusivement par AdopteUnMec et ses prestataires. Toute diffusion a? des tiers des donne?es personnelles recueillies sur les Utilisateurs fera l'objet d'une demande expresse et pre?alable.;;;;La transmission de ces donne?es au sous traitant du Site situe? en dehors de l’Union Europe?enne n’est destine?e qu’au traitement des questions ge?ne?rales pouvant e?tre pose?es par les Utilisateurs (date de souscription ou de cre?ation du profil, date de paiement de l’abonnement, date de renouvellement et montants re?gle?s ou rembourse?s) et a? veiller au respect, par les membres du Site, de la le?gislation et des pre?sentes CGU.;;;;;;;;La transmission de ces donne?es au sous traitant du Site situe? en dehors de l’Union Europe?enne n’est destine?e qu’au traitement des questions ge?ne?rales pouvant e?tre pose?es par les Utilisateurs (date de souscription ou de cre?ation du profil, date de paiement de l’abonnement, date de renouvellement et montants re?gle?s ou rembourse?s) et a? veiller au respect, par les membres du Site, de la le?gislation et des pre?sentes CGU.;;;; Pas d'agrégation, possiblité qu'il y ait aucune agrégation de données personnelles;;;;;Les informations ainsi collecte?es sont destine?es a? e?tre utilise?es exclusivement par AdopteUnMec et ses prestataires. Toute diffusion a? des tiers des donne?es personnelles recueillies sur les Utilisateurs fera l'objet d'une demande expresse et pre?alable.;;;;Les informations ainsi collecte?es sont destine?es a? e?tre utilise?es exclusivement par AdopteUnMec et ses prestataires. Toute diffusion a? des tiers des donne?es personnelles recueillies sur les Utilisateurs fera l'objet d'une demande expresse et pre?alable.;;;;;;;;;;;Il n'est fait aucune mention d'une collecte des données du terminal;;;;;"La Configuration exige?e pour be?ne?ficier des Services du Site est :
 [...]
Acceptation des cookies.                                                                                                        Les cookies sont utilise?s pour faciliter la navigation sur le Site. Ils stockent les informations personnelles que l'Utilisateur a saisies durant sa visite, a? savoir :
Nous stockons certaines informations en utilisant les   cookies  . Un cookie est un morceau de donne?es stocke?es sur votre ordinateur lie? a? l'utilisation de votre compte. Nous utilisons des cookies de session pour s'assurer que les utilisateurs sont connecte?s et pour stocker des informations de mot de passe.
Ils stockent e?galement les informations relatives a? la navigation de l'Utilisateur sur le Site (les pages consulte?es, la date et l'heure de la consultation, etc.). Ainsi, lors des prochaines visites, l'Utilisateur n'aura pas a? les saisir a? nouveau.
La dure?e de conservation des cookies est d’un mois.";;;;;;;;;Pas d'information à ce sujet directement. Il est cependant mentionné que les messages privé sont supprimés après un an.
Airbnb;Opt-in pour envoi de messages marketing de la part d’airbnb ou d’autres partenaires tiers avec toujours la possibilité de se désabonner plus tard (opt-out) dans les paramètres du compte.;Airbnb peut divulguer les données personnelles des utilisateurs à des sociétés tierces pour fournir certains services (vérification de l’identité par ex).;Certaines parties du site peuvent être diffusées auprès de tiers qui auront dès lors accès aux informations de la page de profil public de l’utilisateur. Ces sociétés tierces peuvent utiliser les données personnelles dans la mesure permise par la politique de confidentialité d’airbnb et sont donc obligés de la respecter.;;;"Les tiers sont soumis :
* à des obligations contractuelles de protection des données personnelles sans être soumis à la politique de confidentialité (pour les sociétés tierces ayant accès aux données pour la réalisation de services)
* à la politique de confidentialité du site (pour les sociétés tierces ayant accès à certaines plateformes du site à des fins marketing)";;;;Information préalable en cas de transfert des données dans le cadre d'une fusion;;;;Les données personnelles sont utilisées en majeure partie pour le bon fonctionnement du site et pour réaliser les prestations de services auprès des utilisateurs. ;;;Agrégation de données non personnelles (combinaison d'informations relatives à tous les utilisateurs ou à des groupes d'utilisateurs). Ces informations non personnelles peuvent être publiées, divulguées et utilisées à des fins d'analyse du secteur, de profilage démographique, à des fins marketing et publicitaires et à d'autres fis commerciales. ;;Le site airbnb permet de se connecter à partir d'un site tiers (type : Facebook ou Google +) : en ce cas, airbnb obtient les données personnelles divulguées sur ce site tiers, dans les limites que l'utilisateur a fixé dans les paramètres de confidentialité de ce site tiers. ;Dans le cas de la connexion à airbnb via un site tiers comme FB, la politique de confidentialité d'airbnb n'est pas claire sur l'agrégation ou non des données personnelles ainsi recueillies avec celles divulguées par les utilisateurs directement sur le site. Néanmoins, cette agrégation est fortement probable. Idée : intégrer une obligation d'informer dans les politiques de confidentialité de ce qu'il advient des données personnelles obtenues lors d'une connexion au site via un site tiers ;"Les tiers utilisateurs du site peuvent avoir accès à des données d'identité (nom, prénom, numéro de téléphone si opt-in,...) uniquement pour les besoins du service dans le cas des réservations (l'hôte a accès aux données de l'utilisateur réservant son bien, les utilisateurs ont accès à des informations personnelles concernant les hôtes éventuels - photo de profil, ville où se trouve le logement proposé, localisation approximative sur une carte)
Les données personnelles peuvent être communiquées à des tiers pour   les besoins de votre identification  . Cela laisse entendre que les données d'identité sont divulguées à ces tiers qui ne peuvent les utiliser que pour les besoins de la fourniture des services";;;;Les données de connexion sont collectées et conservées par le site lors de la navigation des utilisateurs. ;Possibilité de se connecter via FB et de demander à ses amis de poster des recommandations sur soi-même;Possibilité d'inviter des amis à utiliser le site airbnb par importation des contacts d'une messagerie. En ce cas, air bnb collecte mais ne conserve pas le nom d'utilisateur et le mot de passe du compte de messagerie électronique à partir duquel l'importation des contacts a été faite;;Les utilisateurs du site ont accès aux profils des autres utilisateurs ;Les partenaires d'airbnb peuvent avoir accès aux données présentes sur le profil de l'utilisateur;Les données du profil peuvent être indéxées sur des moteurs de recherche tiers. Cette fonction est activée par défaut avec possibilité d'opt-out. Airbnb informe qu'en cas de modification des informations, les anciennes peuvent continuer à être visibles sur le moteur de recherche pendant un certain temps avant qu'il ne soit mis à jour ou même rester toujours accessibles en l'état du fait de l'absence de mise à jour;Attention : Airbnb n'est pas un réseau social : le profil n'a pas vocation à être un espace d'expression comme FB. L'impact de la publicité du profil semble limité. Proposition : inclure une catégorie particulière pour les   profils   d'utilisateurs en dehors des réseaux sociaux comme pour airbnb ou amazon;L'utilisation de certaines fonctionnalités de la plateforme et notamment son utilisation mobile implique la collecte de données de localisation avec renvoi vers le paramétrage de l'appareil mobile pour désactiver la localisation GPS;;;;La politique de confidentalité d'airbnb ne fait pas mention de la collecte des données du terminal;;;;;Si l'utilisateur refuse d'activer les cookies, il ne peut pas ouvrir de session. Il devient donc impossible d'utiliser le site ce qui va au delà du simple   fonctionnement dégradé   du site;"Proposition : 
création d'une licence ++++ pour les sites comme airbnb qui ne prennent pas en compte l'activation de l'option   ne pas suivre   et qui empêchent l'utilisation du service principal proposé par le site (dans le cas d'airbnb : la location via ouverture d'une session) si l'utilisateur désactive la collecte des cookies : après essai de désactivation des cookies, le site ne fonctionne quasi plus et ne présente plus aucun intérêt. ";;;Utilisation de balises web (donc de pixels espion) sans explicitation de la finalité ;;;;;La politique de confidentialité n'est pas claire sur ce qu'il advient des données après la suppression des comptes. Les utilisateurs sont informés que les commentaires et avis qu'ils auraient pu poster avant la suppression de leur compte seront toujours accessibles de même que leur prénom. Proposition d'une licence ++++ pour ces cas de figure
Allo Resto ;;"Allo Resto : vous acceptez que nous puissions également partager des informations avec des tiers (y compris ceux dans les secteurs de l'alimentation, des boissons, des loisirs, du marketing et de la publicité) et utiliser vos informations afin de vous informer sur les biens et services qui peuvent vous intéresser (par courrier, téléphone , messagerie mobile (par exemple SMS, MMS , etc.) et/ou e-mail).”
Mais possibilité d’indiquer au site Allo Resto de refuser l’utilisation des DP a ces fins.";;;;;           Allo Resto : Vos informations peuvent être consultées ou remis à notre personnel travaillant hors de France et à des Tiers, (ce qui semble naturel) y compris dans les entreprises au sein du groupe ALLO RESTO (ceci couvre nos filiales et sociétés affiliées, la société holding dont nous sommes filiale et ses filiales et sociétés affiliées) qui agissent pour nous aux fins énoncées dans la présente politique ou à d'autres fins qui serait notifiées ultérieurement. Dans les pays extérieurs à l'Espace économique européen, qui ne disposent pas toujours d’un encadrement juridique approprié, nous serons attentifs à la mise en œuvre des règles de protection des données telles qu’elles sont arrêtées par la CNIL.;;;;“Si notre entreprise entre dans tout accord par lequel elle serait fusionnée, elle serait vendue, elle acquerrait ou exploiterait en commun sa présente clientèle avec une autre entité juridique ou commerciale, vos informations peuvent être divulguées ou transférées à nos nouveaux partenaires commerciaux, nouveaux propriétaires ou leurs conseillers. précédemment visés  ;;;"“Pour la commercialisation de services qui peuvent être d'intérêt pour vous”
Notons tout de même la subjectivité de l”interet”";;;;;Le site Allo Resto permet de se connecter à partir d'un site tiers (type : Facebook ou Google +) : en ce cas, airbnb obtient les données personnelles divulguées sur ce site tiers, dans les limites que l'utilisateur a fixé dans les paramètres de confidentialité de ce site tiers. ;;;;Pas de précision concernant les données d’identification mais il faut rappeler qu’Allo Resto pratique la communication des DP à des prestataires tiers, aux affiliés, à des tiers non affiliés aux fins de communication promotionnelle;;;"“
ALLO RESTO vous permet de mettre un lien entre votre compte ALLO RESTO et des réseaux sociaux exploités par des Tiers. Si vous accédez à votre compte ALLO RESTO au travers d’un de ces réseaux, vous   Nous   autorisez à accéder aux informations de votre profil sur le dit réseau social et à les utiliser conformément avec notre   Politique de confidentialité et de respect de la vie privée  , et en accord avec les termes de politique de confidentialité du réseau social en cause.";;;"Responsabilité de l’utilisateur quant à son profil public. 

Profil uniquement accessible aux utilisateurs d’Allo Resto, cependant, Seul le Prénom et la première lettre du Nom apparaitra.";;;;;"Aborde la question de la collecte de la localisation mais ne précise pas la finalité de celle-ci. 
Possibilité pour l’utilisateur de rester anonyme, en passant par l’appareil.";;;;"Allo Resto : collecte de données non personnelles comme : type et version du navigateur, système d’exploitation…) 
Possibilité de rester anonyme par l’appareil.";;;;"Allo Resto :   En poursuivant votre navigation sur notre site, vous acceptez l’utilisation de cookies afin de vous permettre de partager des contenus sur les réseaux sociaux et d'établir des statistiques de frequentation”

Cependant, impossible de refuser les cookie, il y a une acceptation tacite des cookies en visitant la page et en se connectant";;;;;;;;"La politique de confidentialité n'est pas claire sur ce qu'il advient des données après la suppression des comptes.
  Nous conserverons vos informations pendant une période raisonnable, ou aussi longtemps que la loi l'exige.  
nous trouvons cette mention dans la partie “conservation et sécurité des données” mais de mention en cas de désinscription.";
Allociné ;"En règle générale, AlloCiné s’engage à ne pas divulguer les données personnelles de ses Utilisateurs, sauf avec leur autorisation expresse ou dans des circonstances très particulières, telles celles qui sont envisagées et précisées dans les présentes Conditions Générales, et notamment ,

AlloCiné pourra être amenée – du fait de la loi, dans le cadre d’une procédure en justice, d’un litige et /ou d’une requête des autorités publiques du pays de résidence de l’Utilisateur ou autre – à divulguer les données personnelles précitées ,
AlloCiné pourra également divulguer ces données si la divulgation est nécessaire à des fins de sécurité nationale, d’application de la loi ou autre sujet d’intérêt public ,
AlloCiné peut également divulguer des données concernant ses Utilisateurs si cette divulgation est raisonnablement nécessaire pour faire valoir le respect des présentes Conditions Générales ou protéger ses activités ou ses Utilisateurs ,";;;;;AlloCiné pourra par ailleurs transmettre les données de l’Utilisateur à des partenaires commerciaux, sous réserve de l’autorisation expresse de l’Utilisateur lors de son inscription.;;;;Pas d’information préalable ni accord en cas de revente d’Amazon. Cela semble totalement exclu “les informations [...] seraient bien entendu également transmises à l’acquéreur comme faisant partie des actifs transférés”.;En cas de restructuration ou de cession, AlloCiné pourra transférer toute donnée personnelle qu’elle conserve au tiers concerné. Aucun accord express ou tacite ne semble être exigé dans ce cas.;;;"AlloCiné pourra utiliser ces informations à toutes fins, notamment pour cibler les bandeaux publicitaires, améliorer l'utilisation des Services ou contrôler le respect des termes des présentes Conditions Générales.
                                                                                                                                           Les données pourront être utilisées pour les besoins de la gestion des opérations effectuées sur le Site et notamment l’accès et l’utilisation des Services.                                             
Toutes les informations contenues sur les serveurs pourront être utilisées par AlloCiné pour effectuer tout type de contrôle à des fins de prévention et de sanction.";;;Il n'est pas fait mention d'agrégation dans les CGU. Il est donc possible d'imaginer que le service ne procède à aucune agrégation des DP;;;;;;La consultation du site peut s’effectuer sans que vous ne communiquiez des données personnelles vous concernant. Les données personnelles correspondent à votre nom, adresse postale, e-mail, numéro de téléphone, vos données de connexion et plus généralement toutes données vous concernant collectées par l’intermédiaire de l’utilisation du site. Toutefois, nous gardons le droit d'adresser des propositions commerciales concernant nos produits et nos services susceptibles de vous intéresser via notamment notre lettre d’information ou tout autre courrier électronique ou non ou de communiquer à nos partenaires vos informations personnelles afin que ces derniers puissent également vous adresser des propositions commerciales;;Collecte automatique des données de connexion pour les besoins du service, notamment lutte contre la fraude et les abus.;;Possibilité de se connecter via facebook ou google+ et de partager ses avis sur des films ou séries;;;;Les utilisateurs du site ont accès aux profils des autres utilisateurs et peuvent voir leurs commentaires cinématographiques. Ainsi que leurs films et séries préférés.;;"Les services proposés par Allociné n'intègrent pas la géolocalisation, en effet les utilisateurs doivent effectuer une recherche pour identifier les cinémas les plus proches, cette fonctionnalité n'est pas (encore) assurée par un service de géolocalisation. 
Toutefois l’application disponible sur smartphone intègre cette fonctionnalité mais aucune mention n’est fait dans les CGU qui ne sont, par ailleurs, pas disponibles sur l’application.";;;;Il n'est fait aucune mention de collecte de données du terminal au sein des CGU.;;;;"Pour des besoins statistiques, AlloCiné peut être amenée à recueillir des informations de navigation via l'utilisation de cookies. L'acceptation de ces cookies est obligatoire pour toute souscription, gratuite ou payante.

L’Utilisateur peut à tout moment supprimer l’enregistrement des cookies, ou les cookies déjà enregistrés sur son ordinateur, en paramétrant les options de protection de la vie privée de son navigateur Internet + détail de la procédure de désactivation des Cookies (entrainant toutefois une impossibilité d’utiliser le service)";;;;;;;AlloCiné conserve les données personnelles de l’Utilisateur pour la durée nécessaire aux finalités décrites au présent article et aux fins de conserver les éléments nécessaires en cas de mise en jeu de sa responsabilité contractuelle et/ou délictuelle. lloCiné pourra à toutes fins de preuve conserver et archiver de manière confidentielle les données du client, pour la durée fixée par AlloCiné et au maximum pour la durée de prescription de droit commun des actions civiles en vertu de l'article 2262 du code civil.;;;
Amazon;Amazon (H.Jacob): opt-in et sans communication du nom et de l’adresse aux sociétés tiers : “Sous réserve de votre accord, donné dans Votre Compte, nous pouvons envoyer de temps en temps des offres à certaines catégories de clients Amazon.fr pour le compte d’autres sociétés. Dans ce cas, nous ne communiquons à ces sociétés ni votre nom ni votre adresse.”;;Amazon (H. Jacob): un cas pour les revendeurs - considérés comme des partenaires non contrôlés par Amazon - utilisant le site pour “exploiter leur propre boutique”. Amazon permet de “savoir quand un tiers est impliqué dans [les] transactions et quand [Amazon] partage avec ce tiers les informations relatives à ces transactions”.;;;"Amazon.com Inc. et ses filiales pouvant avoir communication des données sont soumis à la politique de confidentialité ou doivent appliquer des règles “au moins aussi protectrices que celles” de la politique de confidentialité.
Idem pour les prestataires de services tiers (type : traitement des commandes, livraison des produits, gestion des fichiers clients…) qui ne peuvent en plus traiter les données que pour les besoins de l’exécution de leur prestation sans droit de réutilisation pour d’autres fins.";Pas d’engagement particulier pour les partenaires non contrôlés par Amazon et les autres sociétés tierces pouvant avoir accès aux données;;;;Pas d’information préalable ni accord en cas de revente d’Amazon. Cela semble totalement exclu “les informations [...] seraient bien entendu également transmises à l’acquéreur comme faisant partie des actifs transférés”.;;;Les données sont utilisées pour l’exécution des prestations et pour l’amélioration des services proposés par le site. Les données peuvent aussi être utilisées pour permettre à des “parties tierces de fournir des fonctions techniques, logistiques ou autres pour notre compte”.;;;;Rubrique “Informations issues d’autres sources”: Amazon peut utiliser des informations provenant des transporteurs ou parties tierces mais aussi d’une filiale (Alexa Internet) proposant un service de recherche et d’agences de renseignements commerciaux.;Agrégation de façon anonyme des données de différents clients portant sur les commandes effectuées pour, par exemple, établir une liste “nos meilleures ventes”;;"Communication à des tiers pour les besoins de la réalisation des prestations (transporteurs par ex) sans droit pour ces derniers de les utiliser à d’autres fins + respect de la politique de confidentialité d’Amazon. 
Le nom et l’adresse des utilisateurs d’Amazon ne sont jamais divulgués aux sociétés tierces pour des l’envoi d’offres promotionnelles (mais d’autres données type mail ou numéro de télépone peuvent a contrario l’être) + opt out possible pour ce cas précis.";Possible transmission des données à des tiers avec information préalable et les personnes concernées peuvent ne pas donner leur accord à cette transmission. Une garantie supplémentaire est accordée si ces tiers sont localisées hors EEE : Amazon s’assure que les informations sont transférées en conformité avec leur politique de confidentialité et dans le respect des lois relatives à la protection des données applicables au sein de l’EEE ;;;Collecte automatique des données de connexion pour les besoins du service, notamment lutte contre la fraude et les abus.;;;;;;Possibilité pour les utilisateurs de se créer un profil avec un système d’opt-out pour rendre le profil privé et donc accessible seulement par la personne concernée. La personne concernée contrôle ce qu’elle veut publier sur son profil.;Même remarque que pour Airbnb;Amazon n’aborde la question de la localisation que pour les appareils portables, pas les fixes. Règime d’opt-out : la politique de confidentialité renvoie au réglage de l’appareil portable. Les données de localisation sont utilisées pour fournir des “services liés à la localisation, tels que des résultats de recherche et autres contenus personnalisées”. Le système pour désactiver la collecte des données de localisation par Amazon n’est ni simple ni intuitif puisque indirect : désactivation directement et seulement sur l’appareil.;;;;;Collecte de données  comme : type et version du navigateur, système d’exploitation…) ainsi que des informations techniques permettant d’identifier l’appareil pour lutter contre la fraude et réaliser des diagnostics.;;;Amazon considère que les utilisateurs navigant sur le site ave cles paramètres du navigateur permettant la collecte des cookies consentent tacitement à l’utilisation par Amazon de cookies. Système d’opt-out par renvoi aux réglages du navigateur. Les cookies servent notamment à l’identification, la fourniture d’une publicité ciblée, le suivi des préférences…;;;;Utilisation de “pixels invisibles” pour les mêmes finalités que les autres cookies qui sont explicitement définies dans la politique “Cookies et publicité sur internet” du site.;;;;;;La politique de confidentialité n’aborde pas le thème de la conservation. Il est précisé que si l’utilisateur modifie ses informations personnelles, Amazon peut garder une copie des données initiales.
