;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;;;"""Nous pourrons également partager certaines informations, telles que des données de cookies, avec des partenaires publicitaires tiers. Ces informations permettent aux réseaux publicitaires tiers, entre autres choses, de diffuser des publicités ciblées intéressant réellement les utilisateurs.""";;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;"""Les données personnelles que vous fournissez à Blizzard nous permettront de remplir vos bons de commande et de vous fournir une assistance sur nos jeux, assistance clientèle et technique, ainsi que de vous tenir au courant de nos nouveautés et de nos améliorations et/ou de nos concours, occasions et événements spéciaux si vous le souhaitez.
Si vous y consentez, nous pouvons également fournir vos informations personnelles à d’autres sociétés ou à des organisations qui proposent des produits susceptibles de vous intéresser""
""De façon générale, Blizzard ne transmettra à personne des informations vous concernant à moins que nous n’ayons votre permission. Cependant, nous pouvons avoir à divulguer ces données à des vendeurs tiers pour répondre à une commande ou pour le transfert de courriers commerciaux""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;;« We may also share aggregated or non-personally identifiable information with our partners, advertisers, or others. For example, we may tell an advertiser on Pinterest how many people repinned something they shared, or the percentage of people who click on a Pin after viewing it. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dofus-Ankama;;La communication des donées personnelles du Membre se fait de manière sécurisée et pour des tâches précises« Ankama pourra avoir recours  des prestataires de services tiers qui collecteront vos données personnelles au nom et pour le compte d’Ankama, dans le but d’assurer l’accomplissement de tâches nécessaires à l’exécution de votre commande, la livraison de produits, le traitement de vos paiements, et de lutter contre la fraude. Ankama pourra également être amenée à communiquer de manière sécurisée à ces prestataires, certaines de vos données, notamment personnelles, aux mêmes fins. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec;Les informations ainsi collecte?es sont destine?es a? e?tre utilise?es exclusivement par AdopteUnMec et ses prestataires. Toute diffusion a? des tiers des donne?es personnelles recueillies sur les Utilisateurs fera l'objet d'une demande expresse et pre?alable.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viralité des conditions de réutilisation des données personnelles par les tiers;Services de publicité, de mesure et d’analyse (uniquement des informations qui ne permettent pas de vous identifier personnellement).;Engagement sur la viralité des conditions / sur la non divulgation des données par les tiers;Pas d’engagement sur la viralité des présentes conditions ou sur la divulgation par les tiers selon les mêmes conditions;;;;;;;;;;;;;;;;;;;;;;;;;;
Vine;;Vine peut partager nos données personnelles avec des services tiers , sujets aux obligations de confidentialité de leur politique de confidentialité, et à la condition que ces tiers utilisent nos données personnelles en leur nom et selon leurs instructions;;;;;;;;;;;;;;;;;;;;;;;;;;;
Whatsapp;Nous voulons que nos publicités soient aussi pertinentes et intéressantes que les autres informations que vous trouvez au sein de nos services. Dans cette optique, nous nous servons de toutes les informations dont nous disposons à votre sujet afin de vous présenter des publicités pertinentes. Nous ne partageons pas les informations qui permettent de vous identifier personnellement (les informations qui permettent de vous identifier personnellement sont les informations telles que votre nom ou votre adresse électronique, pouvant être utilisées pour vous contacter ou vous identifier) avec nos prestataires de services de publicité, de mesure et d’analyse, à moins d’obtenir votre autorisation;-;Il existe une communication de données personnelles et données non personnelles à des tiers. Cependant, il n'est pas précisé les modalités de viralités des conditions de réutilisation des données personnelles par ces tiers. Cette absention m'a donc poussée à inscrire WhatsApp en Licence +++. ;;;;;;;;;;;;;;;;;;;;;;;;;;
Twitter;-;"Partage avec tiers « dès lors qu’ils sont soumis à des obligations de confidentialité conformes à cette déclaration de confidentialité et sous réserve que ces tierces parties utilisent vos données personnelles et privées en notre nom et en suivant nos instructions »
• Twitter s’engage, en cas de divulgation des données, que les tiers les utilisent conformément aux CGU que le réseau social a établi";-;;;;;;;;;;;;;;;;;;;;;;;;;;
Snapchat;;" ""Vous avez pris connaissance et accepté le fait que Snapchat n'est pas responsable de la façon dont les tiers collectent ou utilisent vos données personnelles. Nous vous encourageons à revoir les politiques de confidentialité de tous les sites internet de ces tiers ou des services que vous utilisez, y compris ceux des tiers avec lesquels vous interagissez à travers nos services.""";;;;;;;;;;;;;;;;;;;;;;;;;;;
