;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;Lorsque vous effectuez une réservation sur notre site ou que vous créez un compte utilisateur, nous pouvons utiliser vos coordonnées pour vous envoyer des informations sur des produits et services sur des voyages similaires. De même, si vous êtes d’accord, quand la législation locale exige votre accord, nous vous envoyons régulièrement des newsletters à nos clients par e-mail. Vous pouvez vous désabonner ponctuellement ou totalement de nos communications marketing à tout moment grâce au lien « Se désabonner » dans chaque newsletter, ou vous pouvez gérer vos abonnements via votre compte (si vous en possédez un).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;"""Nous ne vendons pas ni ne louons vos informations personnelles à des 
tiers à leurs fins commerciales sans votre autorisation expresse.""


Cependant,il convient de souligner que les membres du groupe eBaypeuvent utiliser les informations collectées  des fins de prospection commerciale si l'utilisateur y a préalablement consenti : 
""Les membres de notre groupe peuvent utiliser ces informations pour vous
envoyer des communications commerciales uniquement si vous avez 
consenti à leurs services.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;""" Si vous avez effectué un achat sur notre Site Internet, nous pourrons de manière occasionnelle vous tenir informé de nos nouveaux produits, actualités et offres spéciales, par courriel, par courrier postal et téléphone quant à des produits ou services similaires aux produits ou services qui ont fait l'objet de votre commande. Vous aurez aussi la possibilité de recevoir des communications de notre part ou de tiers sélectionnés, lorsque vous deviendrez membre d’ASOS en cochant la case prévue à cet effet. Tous les membres d’ASOS ont la possibilité de refuser de recevoir des communications marketing de notre part et/ou de tiers sélectionnés. Si vous souhaitez ne plus recevoir de communications de notre part et/ou de tiers sélectionnés, vous pouvez le faire  en allant sur le Site Internet ASOS, dans la rubrique de « Votre Compte », après vous être enregistré et identifié. Vous pouvez aussi cliquer sur le lien  « se désinscrire » affiché dans chaque courriel que nous pourrons vous adresser"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;;"Marketing direct avec restrictions liées aux destinataires : ""Nous pouvons aussi partager les informations à caractère personnel vous concernant avec des tiers missionnés par TripAdvisor pour lui fournir des services (tels que des sociétés d’étude de marché, des fournisseurs de services marketing et des agences de publicité). Dans ce cas de figure, nous demanderons à ces partenaires d’accepter de n’utiliser de telles informations à caractère personnel permettant une identification que pour fournir à TripAdvisor les services spécifiés.""";"Communication des DP à ses partenaires et annonceurs publicitaires pour marketing direct : ""TripAdvisor ne vend ni ne loue d’informations à caractère personnel à quelque tiers que ce soit autres que nos partenaires. (...) Nous pouvons compiler les informations à caractère personnel de tous nos utilisateurs et fournir ces informations sous forme agrégée à des tiers, y compris à des annonceurs publicitaires, à des fins de marketing et de promotion. Dans ce cas, cependant, ces informations ne se présenteront pas sous une forme permettant à un tiers quelconque de vous identifier personnellement.""";"Proposition Licence 0 : ""Utilisation des
données personnelles par le service pour marketing direct"" (opt-in,
out-out de l'utilisateur) :  TripAdvisor utilise les données personnelles
des utilisateurs pour marketing direct. Mais opt-in de l'utilisateur :
l'utilisateur doit avoir consenti à ce marketing direct, son consentement
pouvant être retiré à tout moment.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;;"Marketing direct avec restrictions liées aux destinataires (seulement les tiers qui interviennent dans le cadre de la fourniture du service. ex : tiers en charge de la fourniture d'informations de géolocalisation aux conducteurs, tiers en charge du paiement, tiers en charge de la maintenance du site etc.) : ""We may employ third party companies and individuals to facilitate or provide the Service on our behalf, to process payment, provide customer support, provide geo-location information to our Drivers, to host our job application form, to perform Website-related services (e.g., without limitation, maintenance services, database management, web analytics and improvement of the Website's features) or to assist us in analyzing how our Service is used. These third parties have access to your personal information only to perform these tasks on our behalf and are contractually bound not to disclose or use it for any other purpose. 
Uber will disclose your personal data to the extent that this is legally required, or necessary for the establishment, exercise or defence of legal claims and legal process; or in the event of an emergency pertaining to your health and/or safety.""";;"IDEM pour la proposition de Licence 0 :
""Utilisation des données personnelles par le service pour marketing
direct"" (opt-in, out-out de l'utilisateur) : Uber utilise les données
personnelles pour marketing direct. Opt-out de l'utilisateur.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;;"We may share your information with third parties outside the VSCO and its controlled subsidiaries and affiliates in the instances described below. For further information, see the “Your Choices Regarding Your Information” section below.
Who we may share your information with — We may share your information with third-party business partners, consultants and service providers that perform services on our behalf for the purpose of providing the Service to you (e.g., email providers, advertising networks, content or service fulfillment, analytics companies, etc.). Those business partners will be given limited access to your information that is reasonably necessary to deliver the Service. We may also share your information with our business partners who offer a service to you jointly with us, for example, when running a co-sponsored contest or promotion. From time to time, we may share your information with third parties who we think may offer you products or services you may enjoy.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;"""Apple peut parfois mettre certaines données personnelles à la 
disposition de partenaires stratégiques."" Le rôle de ces partenaires 
stratégiques est clairement identifié et délimité. Ils doivent soit :                                                                              1) travailler avec Apple pour la fourniture de produits ou services                                                            
2) aider Apple à commercialiser ses produits auprès des clients.                                                                                                                                                                            Les  DP sont bien utilisées  à des fins publicitaires mais exclusivement au profit d'Apple et non pas des tiers:                                                                               ""Les données personnelles seront uniquement partagées par Apple pour fournir ou améliorer ses produits, services et publicités; elles ne seront pas partagées avec des tiers à des fins marketing.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;;"« Nous partageons vos données personnelles avec …les tiers partis à des fins commerciales légitimes, tel que permis par la Loi. »

« Tout email publicitaire contient une URL vous permettant de stopper l’abonnement, vous pouvez ainsi vous désabonner de cette forme de communication à tout moment. »

l’utilisateur peut refuser que son comportement en ligne soit suivi à des fins publicitaires";« Nous partageons aussi vos informations tel que décrit au moment de la collecte. Par exemple, si vous fournissez des informations lors d’un jeu concours en ligne, nous partageons vos données personnelles avec le partenaire promotionnel. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go voyages ;"Transmission des données aux fournisseurs : Les informations que vous nous communiquez lors de votre commande sont transmises à nos fournisseurs pour le traitement de celle-ci. Ces informations sont considérées par GO Voyages et par ses fournisseurs comme étant strictement confidentielles. 

Transmission aux partenaires commerciaux : En aucun cas nos partenaires commerciaux n'en sont en possession, sauf dans le cas d’une autorisation expresse de votre part.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;;"(Opt-in Actif) 2.2 Sollicitations Commerciales: 

En contrepartie de la fourniture gratuite des Services, le MEMBRE a accepté de recevoir des offres commerciales de BOURSORAMA et de ses partenaires, en cochant la case
« J'accepte les Conditions Générales d'Utilisation et j'accepte de recevoir les
offres de BOURSORAMA ainsi que celles de ses partenaires »..";BOURSORAMA pourra donc utiliser les données personnelles recueillies auprès du MEMBRE à des fins commerciales soit directement, soit par l'intermédiaire de ses partenaires contractuels et/ou des entités de son groupe. Des tiers, ici-nommés partenaires contractuels peuvent se voir partager les données personnelles des membres de boussorama.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;PayPal ne vendra ni ne louera pas vos informations personnelles à des tiers à des fins publicitaires sans votre consentement explicite, et ne divulguera ces informations que dans des cas précis et aux fins décrites dans le présent règlement. ;"envoyer du contenu marketing et de la publicité ciblés, des mises à jour de service et des offres promotionnelles selon les préférences de communication que vous avez définies pour votre compte PayPal (référez-vous au paragraphe ""Nos contacts avec les utilisateurs PayPal"" ci-dessous) et vos activités lorsque vous utilisez les Services PayPal, et";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;Rad s’engage a? ne pas divulguer a? des tiers les informations communique?es par le Client sur le Site. Celles-ci sont confidentielles.;;;Observation: c'est même plutôt une licence zéro +;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viralité des conditions de réutilisation des données personnelles par les tiers;Services de publicité, de mesure et d’analyse (uniquement des informations qui ne permettent pas de vous identifier personnellement).;Engagement sur la viralité des conditions / sur la non divulgation des données par les tiers;Pas d’engagement sur la viralité des présentes conditions ou sur la divulgation par les tiers selon les mêmes conditions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
