;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spotify ;;"* Prestataires de services et autres
Le traitement des données des utilisateurs sera toujours soumis à des obligations de sécurité et de confidentialité compatibles avec la présente Politique de Confidentialité et avec la loi applicable. 
* Partage avec des Applications Tierces : Le traitement des données des utilisateurs sera toujours soumis à des obligations de sécurité et de confidentialité compatibles avec la présente Politique de Confidentialité et avec la loi applicable";"Partage avec Facebook et avec d’autres services ""intégrés"" 
Vous reconnaissez et acceptez que l’utilisation par Facebook ou par d’autres tiers des informations qu’ils recueillent est régie par leur propre politique de confidentialité et que l’utilisation de ces informations par Spotify est régie par la présente Politique de Confidentialité.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soundhound;;"
This Privacy Statement does not apply to links you 
follow from the SoundHound web site and applications to other sites, 
services,
 applications, or online stores. (La politique de confidentialité ne 
s'applique pas lorsque vous envoyez un lien vers le site de soundhound, 
ce sont les conditions de confidentialité du site tiers qui sont 
appliquées). ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Netflix;;Dans le cadre de la prestation de ces services, ces Fournisseurs de services sont susceptibles d'acce?der a? vos informations personnelles ou a? d'autres donne?es vous concernant. Nous ne les autorisons pas a? utiliser ni divulguer vos informations personnelles, sauf dans le cadre de la fourniture de leurs services.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Tracks;;"« We may disclose some limited User information to affiliated companies or other businesses or persons to: provide website hosting, maintenance, and security services; fulfill orders; conduct data analysis and create reports; offer certain functionality; and assist 8tracks in improving the 8tracks Platform and creating new services features. We contractually require that these parties process such information in compliance with this Privacy Policy, we authorize only a limited use of such information, and we require these parties to use reasonable confidentiality measures. »";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Information préalable pour la communication des données personnelles à des tiers en cas de fusion;Collecte opt-in préalable à la fusion;Information préalable pour opt-out cas de fusion;Pas d’information préalable transmission en cas de fusion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allociné;;Pas d’information préalable ni accord en cas de revente d’Amazon. Cela semble totalement exclu “les informations [...] seraient bien entendu également transmises à l’acquéreur comme faisant partie des actifs transférés”.;En cas de restructuration ou de cession, AlloCiné pourra transférer toute donnée personnelle qu’elle conserve au tiers concerné. Aucun accord express ou tacite ne semble être exigé dans ce cas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deezer;;;;Aucune information ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canal +;;;;Pas d'information;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spotify ;;;;"Absence de clause pour le transfert des données lors de fusion, mai s: ""Nous pouvons également partager vos informations avec des tiers dans le cadre des finalités suivantes : pour permettre la fusion, l’acquisition ou la vente de tout ou partie de nos actifs (...) Si vous consentez expressément à ce partage"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soundhound;;;;"Pas de clause à ce sujet, toutefois : Soundhound partage les données
 personnelles avec les potentiels successeurs de la société et avec les sociétés s'intéressant aux actifs de la société  ""to a successor in interest to SoundHound, the 
SoundHound web site, applications, or related business assets"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Netflix;;;Transfert d'entreprise : que ce soit dans le cadre d'une re?organisation, d'une restructuration, d'une fusion, d'une vente ou de tout autre type de transfert d'actifs, nous nous re?servons le droit de transfe?rer les donne?es, y compris vos informations personnelles, a? condition que le destinataire s'engage a? respecter ces informations personnelles, en accord avec notre Politique de confidentialite?.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Tracks;;;« In the event that 8tracks is acquired by or merged with a third-party entity or ever files for bankruptcy, we reserve the right, in any of these circumstances, to transfer or assign the information that we have collected from Users as part of that merger, acquisition, sale, or other change of control. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finalité de la réutilisation des données personnelles collectées;Pour finalité statistique et la facturation;Pour fournir le service et les offres adaptées;Pour les collecter, les utiliser, les agréger, les transférer, les divulguer à quelque fin que se soit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dailymotion;Les données d'inscription (nom, prénom, sexe, date de naissance, mail) ne sont pas utilisées sans notre consentement. Dailymotion peut toutefois s'en servir pour envoyer des mails d'information, qu'il est possible de désactiver.;Les données d'utilisation (adresse IP)peuvent être utilisées pour optimiser le fonctionnement et améliorer la qualité du site, notamment via des campagnes marketing ou publicitaires;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
