SERVICES;Communications à des tiers;;;;Viralite des conditions de reutilisation des donnees personnelles par les tiers;;;;Information prealable pour la communication des donnees personnelles à des tiers en cas de fusion;;;;Finalite de la reutilisation des donnees personnelles collectees;;;;Aggregation des donnees;;;;Donnees d’identite;;;;Identifiants electroniques;;;;Informations publiques / donnees de profil;;;;Donnees de localisation;;;;Donnees dans le terminal;;;Cookies;;;;Pixels espion;;;;Delai d’anonymisation;;;
;opt-in pour sollicitation commerciale sauf pour produits et services equivalents/ modification CGV / opt-in prospection commerciale;Marketing direct avec restrictions liees aux destinataires, aux centres d’interets ou aux supports;Communication des DP à des tiers pour marketing direct;Autre;Services de publicite, de mesure et d’analyse (uniquement des informations qui ne permettent pas de vous identifier personnellement).;Engagement sur la viralite des conditions / sur la non divulgation des donnees par les tiers;Pas d’engagement sur la viralite des presentes conditions ou sur la divulgation par les tiers selon les memes conditions;Autre;Collecte opt-in prealable à la fusion;Information prealable pour opt-out cas de fusion;Pas d’information prealable transmission en cas de fusion;Autre;Pour finalite statistique et la facturation;Pour fournir le service et les offres adaptees;Pour les collecter, les utiliser, les agreger, les transferer, les divulguer à quelque fin que se soit;Autre;Pas d’agregation;Agregation DP avec donnees non personnelles;Agregation avec l’ensemble des DP disponibles;Autre;Uniquement pour et pendant la fourniture du service et pendant l’execution du contrat;Opt-in prealable pour communicabilite des donnees d’identification à des tiers (mots de passe...);Communicabilite des donnees d’identification (nom, prenom...) à des tiers (hors autorite);Autre;Uniquement pour et pendant la fourniture du service et pendant l’execution du contrat;Fusion des identifiants plusieurs services de l’entreprise/ transmission à des tiers pour fusion des identifiants ou recherche d’amis presents;Agregation des identifiants avec tiers / utilisation des comptes de messagerie;Autre;Uniquement accessible aux autres utilisateurs;Mise à disposition des partenaires pour referencement et agregation (avec opt-in);Mise à disposition publique pour referencement et agregation (avec opt-out);Autre;Uniquement pour et pendant la fourniture de service/ conservation limitee aux obligations legales;Mise à disposition des partenaires pour referencement et agregation (avec opt-in);Publication automatique / poursuite de la collecte dans le temps apres l’activation / concession de licence d’exploitation perpetuelle;Pas de collecte des donnees de localisation. ;Pas de collecte;Collecte des donnees de profilage et des donnees techniques (dont pub ciblee) pour la fourniture du service;Collecte des donnees de profilage et des donnees personnelles pour la fourniture du service;Opt-in : droit pour les internautes d’accepter leur utilisation et de refuser le croisement des donnees de navigation de leur terminal avec leurs donnees personnelles;Opt-out : Droit pour les internautes de refuser les cookies;Utilisation necessaire et possible association avec des donnees personnelles pour permettre le fonctionnement du service;Autre;Pas d’utilisation;Pour connaître le taux d’ouverture des courriels ou pour finalites legitimes explicitement determinees;Implementation sans transparence ni precision sur les finalites;Autre;Suppression des la suppression du compte / pas de conservation de donnees anonymisees Conservation systematique si obligation legale;Anonymisation des la suppression du compte;Anonymisation apres la suppression du compte ou apres un delai superieur à 6 mois;Aucune anonymisation voire potentiellement aucune suppression
8Tracks;;;« 8tracks may disclose Automatically Collected and other aggregate and/or anonymous non-personally-identifiable information (such as IP addresses, anonymous User usage data, listening preferences, referring or exit pages and URLs, platform types, number of clicks) with interested third parties to assist those parties in understanding the usage and demographic patterns for certain content, services, advertisements, promotions, or other functionality on the 8tracks Platform. »;;;« We may disclose some limited User information to affiliated companies or other businesses or persons to: provide website hosting, maintenance, and security services, fulfill orders, conduct data analysis and create reports, offer certain functionality, and assist 8tracks in improving the 8tracks Platform and creating new services features. We contractually require that these parties process such information in compliance with this Privacy Policy, we authorize only a limited use of such information, and we require these parties to use reasonable confidentiality measures. »;;;;;« In the event that 8tracks is acquired by or merged with a third-party entity or ever files for bankruptcy, we reserve the right, in any of these circumstances, to transfer or assign the information that we have collected from Users as part of that merger, acquisition, sale, or other change of control. »;;;« 8tracks uses all of the information that we collect to understand the usage trends and preferences of our Users, to improve the way the 8tracks Platform works and looks, and to create new features and functionality. »;« tracks may use  Automatically Collected  information and  Cookies  information to: (a) automatically update the 8tracks application on your system, (b) remember your information so that you will not have to re-enter it during your visit or the next time you access the 8tracks Platform, (c) provide customized third-party advertisements, content and information both on and off the 8tracks Platform, (d) monitor and report on the effectiveness of third-party marketing campaigns, (e) monitor and report aggregate usage metrics such as total number of visitors and pages accessed, and (d) track your entries, submissions, and status in any promotions or other activities, and (e) track and enforce any programming limitations adopted by the Service, including by way of example and not limitation, how frequently you may listen to a particular playlist within a defined time period. »;;;;;;;« 8tracks does not share your personally identifiable information with other organizations for their marketing or promotional uses without your prior express consent. Please be aware, however, that any personally identifiable information that you voluntarily choose to display on any publicly available portion of the 8tracks Platform — such as when you publish contact information to complete your profile information — becomes publicly available and may be collected and used by others without restriction. »;;;;« We may use your email address, without further consent, for administrative communications such as notifying you of major 8tracks Platform updates, for customer service purposes, and to send privacy or security related notices. »;;;;;;;;;;;;;« When you access the 8tracks Platform, we may send one or more cookies — small text files containing a string of alphanumeric characters — to your computer. 8tracks may use both session cookies and persistent cookies. A session cookie disappears after you close your browser. A persistent cookie remains after you close your browser and may be used by your browser on subsequent visits to the 8tracks Platform in order to improve your experience, as explained in B below. Persistent cookies can be removed. Please review your web browser  Help  file to learn the best way to modify your cookie settings. »;;;« When you access the 8tracks Platform, we may send one or more cookies — small text files containing a string of alphanumeric characters — to your computer. 8tracks may use both session cookies and persistent cookies. A session cookie disappears after you close your browser. A persistent cookie remains after you close your browser and may be used by your browser on subsequent visits to the 8tracks Platform in order to improve your experience, as explained in B below. Persistent cookies can be removed. Please review your web browser  Help  file to learn the best way to modify your cookie settings. »;;;;;;;;;
Adopte un mec;Les informations ainsi collecte?es sont destine?es a? e?tre utilise?es exclusivement par AdopteUnMec et ses prestataires. Toute diffusion a? des tiers des donne?es personnelles recueillies sur les Utilisateurs fera l'objet d'une demande expresse et pre?alable.;;;;La transmission de ces donne?es au sous traitant du Site situe? en dehors de l’Union Europe?enne n’est destine?e qu’au traitement des questions ge?ne?rales pouvant e?tre pose?es par les Utilisateurs (date de souscription ou de cre?ation du profil, date de paiement de l’abonnement, date de renouvellement et montants re?gle?s ou rembourse?s) et a? veiller au respect, par les membres du Site, de la le?gislation et des pre?sentes CGU.;;;;;;;;La transmission de ces donne?es au sous traitant du Site situe? en dehors de l’Union Europe?enne n’est destine?e qu’au traitement des questions ge?ne?rales pouvant e?tre pose?es par les Utilisateurs (date de souscription ou de cre?ation du profil, date de paiement de l’abonnement, date de renouvellement et montants re?gle?s ou rembourse?s) et a? veiller au respect, par les membres du Site, de la le?gislation et des pre?sentes CGU.;;;; Pas d'agregation, possiblite qu'il y ait aucune agregation de donnees personnelles;;;;;Les informations ainsi collecte?es sont destine?es a? e?tre utilise?es exclusivement par AdopteUnMec et ses prestataires. Toute diffusion a? des tiers des donne?es personnelles recueillies sur les Utilisateurs fera l'objet d'une demande expresse et pre?alable.;;;;Les informations ainsi collecte?es sont destine?es a? e?tre utilise?es exclusivement par AdopteUnMec et ses prestataires. Toute diffusion a? des tiers des donne?es personnelles recueillies sur les Utilisateurs fera l'objet d'une demande expresse et pre?alable.;;;;;;;;;;;Il n'est fait aucune mention d'une collecte des donnees du terminal;;;;;"La Configuration exige?e pour be?ne?ficier des Services du Site est :
 [...]
Acceptation des cookies.                                                                                                        Les cookies sont utilise?s pour faciliter la navigation sur le Site. Ils stockent les informations personnelles que l'Utilisateur a saisies durant sa visite, a? savoir :
Nous stockons certaines informations en utilisant les  cookies . Un cookie est un morceau de donne?es stocke?es sur votre ordinateur lie? a? l'utilisation de votre compte. Nous utilisons des cookies de session pour s'assurer que les utilisateurs sont connecte?s et pour stocker des informations de mot de passe.
Ils stockent e?galement les informations relatives a? la navigation de l'Utilisateur sur le Site (les pages consulte?es, la date et l'heure de la consultation, etc.). Ainsi, lors des prochaines visites, l'Utilisateur n'aura pas a? les saisir a? nouveau.
La dure?e de conservation des cookies est d’un mois.";;;;;;;;;Pas d'information à ce sujet directement. Il est cependant mentionne que les messages prive sont supprimes apres un an.
Airbnb;Opt-in pour envoi de messages marketing de la part d’airbnb ou d’autres partenaires tiers avec toujours la possibilite de se desabonner plus tard (opt-out) dans les parametres du compte.;Airbnb peut divulguer les donnees personnelles des utilisateurs à des societes tierces pour fournir certains services (verification de l’identite par ex).;Certaines parties du site peuvent etre diffusees aupres de tiers qui auront des lors acces aux informations de la page de profil public de l’utilisateur. Ces societes tierces peuvent utiliser les donnees personnelles dans la mesure permise par la politique de confidentialite d’airbnb et sont donc obliges de la respecter.;;;"Les tiers sont soumis :
à des obligations contractuelles de protection des donnees personnelles sans etre soumis à la politique de confidentialite (pour les societes tierces ayant acces aux donnees pour la realisation de services)
 à la politique de confidentialite du site (pour les societes tierces ayant acces à certaines plateformes du site à des fins marketing)";;;;Information prealable en cas de transfert des donnees dans le cadre d'une fusion;;;;Les donnees personnelles sont utilisees en majeure partie pour le bon fonctionnement du site et pour realiser les prestations de services aupres des utilisateurs. ;;;Agregation de donnees non personnelles (combinaison d'informations relatives à tous les utilisateurs ou à des groupes d'utilisateurs). Ces informations non personnelles peuvent etre publiees, divulguees et utilisees à des fins d'analyse du secteur, de profilage demographique, à des fins marketing et publicitaires et à d'autres fis commerciales. ;;Le site airbnb permet de se connecter à partir d'un site tiers (type : Facebook ou Google +) : en ce cas, airbnb obtient les donnees personnelles divulguees sur ce site tiers, dans les limites que l'utilisateur a fixe dans les parametres de confidentialite de ce site tiers. ;Dans le cas de la connexion à airbnb via un site tiers comme FB, la politique de confidentialite d'airbnb n'est pas claire sur l'agregation ou non des donnees personnelles ainsi recueillies avec celles divulguees par les utilisateurs directement sur le site. Neanmoins, cette agregation est fortement probable. Idee : integrer une obligation d'informer dans les politiques de confidentialite de ce qu'il advient des donnees personnelles obtenues lors d'une connexion au site via un site tiers ;"Les tiers utilisateurs du site peuvent avoir acces à des donnees d'identite (nom, prenom, numero de telephone si opt-in,...) uniquement pour les besoins du service dans le cas des reservations (l'hôte a acces aux donnees de l'utilisateur reservant son bien, les utilisateurs ont acces à des informations personnelles concernant les hôtes eventuels - photo de profil, ville où se trouve le logement propose, localisation approximative sur une carte)
Les donnees personnelles peuvent etre communiquees à des tiers pour  les besoins de votre identification . Cela laisse entendre que les donnees d'identite sont divulguees à ces tiers qui ne peuvent les utiliser que pour les besoins de la fourniture des services";;;;Les donnees de connexion sont collectees et conservees par le site lors de la navigation des utilisateurs. ;Possibilite de se connecter via FB et de demander à ses amis de poster des recommandations sur soi-meme;Possibilite d'inviter des amis à utiliser le site airbnb par importation des contacts d'une messagerie. En ce cas, air bnb collecte mais ne conserve pas le nom d'utilisateur et le mot de passe du compte de messagerie electronique à partir duquel l'importation des contacts a ete faite;;Les utilisateurs du site ont acces aux profils des autres utilisateurs ;Les partenaires d'airbnb peuvent avoir acces aux donnees presentes sur le profil de l'utilisateur;Les donnees du profil peuvent etre indexees sur des moteurs de recherche tiers. Cette fonction est activee par defaut avec possibilite d'opt-out. Airbnb informe qu'en cas de modification des informations, les anciennes peuvent continuer à etre visibles sur le moteur de recherche pendant un certain temps avant qu'il ne soit mis à jour ou meme rester toujours accessibles en l'etat du fait de l'absence de mise à jour;Attention : Airbnb n'est pas un reseau social : le profil n'a pas vocation à etre un espace d'expression comme FB. L'impact de la publicite du profil semble limite. Proposition : inclure une categorie particuliere pour les  profils  d'utilisateurs en dehors des reseaux sociaux comme pour airbnb ou amazon;L'utilisation de certaines fonctionnalites de la plateforme et notamment son utilisation mobile implique la collecte de donnees de localisation avec renvoi vers le parametrage de l'appareil mobile pour desactiver la localisation GPS;;;;La politique de confidentalite d'airbnb ne fait pas mention de la collecte des donnees du terminal;;;;;Si l'utilisateur refuse d'activer les cookies, il ne peut pas ouvrir de session. Il devient donc impossible d'utiliser le site ce qui va au delà du simple  fonctionnement degrade  du site;"Proposition : 
creation d'une licence ++++ pour les sites comme airbnb qui ne prennent pas en compte l'activation de l'option  ne pas suivre  et qui empechent l'utilisation du service principal propose par le site (dans le cas d'airbnb : la location via ouverture d'une session) si l'utilisateur desactive la collecte des cookies : apres essai de desactivation des cookies, le site ne fonctionne quasi plus et ne presente plus aucun interet. ";;;Utilisation de balises web (donc de pixels espion) sans explicitation de la finalite ;;;;;La politique de confidentialite n'est pas claire sur ce qu'il advient des donnees apres la suppression des comptes. Les utilisateurs sont informes que les commentaires et avis qu'ils auraient pu poster avant la suppression de leur compte seront toujours accessibles de meme que leur prenom. Proposition d'une licence ++++ pour ces cas de figure
Allo Resto ;;"Allo Resto : vous acceptez que nous puissions egalement partager des informations avec des tiers (y compris ceux dans les secteurs de l'alimentation, des boissons, des loisirs, du marketing et de la publicite) et utiliser vos informations afin de vous informer sur les biens et services qui peuvent vous interesser (par courrier, telephone , messagerie mobile (par exemple SMS, MMS , etc.) et/ou e-mail).”
Mais possibilite d’indiquer au site Allo Resto de refuser l’utilisation des DP a ces fins.";;;;;           Allo Resto : Vos informations peuvent etre consultees ou remis à notre personnel travaillant hors de France et à des Tiers, (ce qui semble naturel) y compris dans les entreprises au sein du groupe ALLO RESTO (ceci couvre nos filiales et societes affiliees, la societe holding dont nous sommes filiale et ses filiales et societes affiliees) qui agissent pour nous aux fins enoncees dans la presente politique ou à d'autres fins qui serait notifiees ulterieurement. Dans les pays exterieurs à l'Espace economique europeen, qui ne disposent pas toujours d’un encadrement juridique approprie, nous serons attentifs à la mise en œuvre des regles de protection des donnees telles qu’elles sont arretees par la CNIL.;;;;“Si notre entreprise entre dans tout accord par lequel elle serait fusionnee, elle serait vendue, elle acquerrait ou exploiterait en commun sa presente clientele avec une autre entite juridique ou commerciale, vos informations peuvent etre divulguees ou transferees à nos nouveaux partenaires commerciaux, nouveaux proprietaires ou leurs conseillers. precedemment vises »;;;"“Pour la commercialisation de services qui peuvent etre d'interet pour vous”
Notons tout de meme la subjectivite de l”interet”";;;;;Le site Allo Resto permet de se connecter à partir d'un site tiers (type : Facebook ou Google +) : en ce cas, airbnb obtient les donnees personnelles divulguees sur ce site tiers, dans les limites que l'utilisateur a fixe dans les parametres de confidentialite de ce site tiers. ;;;;Pas de precision concernant les donnees d’identification mais il faut rappeler qu’Allo Resto pratique la communication des DP à des prestataires tiers, aux affilies, à des tiers non affilies aux fins de communication promotionnelle;;;"“
ALLO RESTO vous permet de mettre un lien entre votre compte ALLO RESTO et des reseaux sociaux exploites par des Tiers. Si vous accedez à votre compte ALLO RESTO au travers d’un de ces reseaux, vous « Nous » autorisez à acceder aux informations de votre profil sur le dit reseau social et à les utiliser conformement avec notre « Politique de confidentialite et de respect de la vie privee », et en accord avec les termes de politique de confidentialite du reseau social en cause.";;;"Responsabilite de l’utilisateur quant à son profil public. 

Profil uniquement accessible aux utilisateurs d’Allo Resto, cependant, Seul le Prenom et la premiere lettre du Nom apparaitra.";;;;;"Aborde la question de la collecte de la localisation mais ne precise pas la finalite de celle-ci. 
Possibilite pour l’utilisateur de rester anonyme, en passant par l’appareil.";;;;"Allo Resto : collecte de donnees non personnelles comme : type et version du navigateur, systeme d’exploitation…) 
Possibilite de rester anonyme par l’appareil.";;;;"Allo Resto : « En poursuivant votre navigation sur notre site, vous acceptez l’utilisation de cookies afin de vous permettre de partager des contenus sur les reseaux sociaux et d'etablir des statistiques de frequentation”

Cependant, impossible de refuser les cookie, il y a une acceptation tacite des cookies en visitant la page et en se connectant";;;;;;;;"La politique de confidentialite n'est pas claire sur ce qu'il advient des donnees apres la suppression des comptes.
« Nous conserverons vos informations pendant une periode raisonnable, ou aussi longtemps que la loi l'exige. »
nous trouvons cette mention dans la partie “conservation et securite des donnees” mais de mention en cas de desinscription.";
Allocine ;"En regle generale, AlloCine s’engage à ne pas divulguer les donnees personnelles de ses Utilisateurs, sauf avec leur autorisation expresse ou dans des circonstances tres particulieres, telles celles qui sont envisagees et precisees dans les presentes Conditions Generales, et notamment ,

AlloCine pourra etre amenee – du fait de la loi, dans le cadre d’une procedure en justice, d’un litige et /ou d’une requete des autorites publiques du pays de residence de l’Utilisateur ou autre – à divulguer les donnees personnelles precitees ,
AlloCine pourra egalement divulguer ces donnees si la divulgation est necessaire à des fins de securite nationale, d’application de la loi ou autre sujet d’interet public ,
AlloCine peut egalement divulguer des donnees concernant ses Utilisateurs si cette divulgation est raisonnablement necessaire pour faire valoir le respect des presentes Conditions Generales ou proteger ses activites ou ses Utilisateurs ,";;;;;AlloCine pourra par ailleurs transmettre les donnees de l’Utilisateur à des partenaires commerciaux, sous reserve de l’autorisation expresse de l’Utilisateur lors de son inscription.;;;;Pas d’information prealable ni accord en cas de revente d’Amazon. Cela semble totalement exclu “les informations [...] seraient bien entendu egalement transmises à l’acquereur comme faisant partie des actifs transferes”.;En cas de restructuration ou de cession, AlloCine pourra transferer toute donnee personnelle qu’elle conserve au tiers concerne. Aucun accord express ou tacite ne semble etre exige dans ce cas.;;;"AlloCine pourra utiliser ces informations à toutes fins, notamment pour cibler les bandeaux publicitaires, ameliorer l'utilisation des Services ou contrôler le respect des termes des presentes Conditions Generales.
                                                                                                                                           Les donnees pourront etre utilisees pour les besoins de la gestion des operations effectuees sur le Site et notamment l’acces et l’utilisation des Services.                                             
Toutes les informations contenues sur les serveurs pourront etre utilisees par AlloCine pour effectuer tout type de contrôle à des fins de prevention et de sanction.";;;Il n'est pas fait mention d'agregation dans les CGU. Il est donc possible d'imaginer que le service ne procede à aucune agregation des DP;;;;;;La consultation du site peut s’effectuer sans que vous ne communiquiez des donnees personnelles vous concernant. Les donnees personnelles correspondent à votre nom, adresse postale, e-mail, numero de telephone, vos donnees de connexion et plus generalement toutes donnees vous concernant collectees par l’intermediaire de l’utilisation du site. Toutefois, nous gardons le droit d'adresser des propositions commerciales concernant nos produits et nos services susceptibles de vous interesser via notamment notre lettre d’information ou tout autre courrier electronique ou non ou de communiquer à nos partenaires vos informations personnelles afin que ces derniers puissent egalement vous adresser des propositions commerciales;;Collecte automatique des donnees de connexion pour les besoins du service, notamment lutte contre la fraude et les abus.;;Possibilite de se connecter via facebook ou google+ et de partager ses avis sur des films ou series;;;;Les utilisateurs du site ont acces aux profils des autres utilisateurs et peuvent voir leurs commentaires cinematographiques. Ainsi que leurs films et series preferes.;;"Les services proposes par Allocine n'integrent pas la geolocalisation, en effet les utilisateurs doivent effectuer une recherche pour identifier les cinemas les plus proches, cette fonctionnalite n'est pas (encore) assuree par un service de geolocalisation. 
Toutefois l’application disponible sur smartphone integre cette fonctionnalite mais aucune mention n’est fait dans les CGU qui ne sont, par ailleurs, pas disponibles sur l’application.";;;;Il n'est fait aucune mention de collecte de donnees du terminal au sein des CGU.;;;;"Pour des besoins statistiques, AlloCine peut etre amenee à recueillir des informations de navigation via l'utilisation de cookies. L'acceptation de ces cookies est obligatoire pour toute souscription, gratuite ou payante.

L’Utilisateur peut à tout moment supprimer l’enregistrement des cookies, ou les cookies dejà enregistres sur son ordinateur, en parametrant les options de protection de la vie privee de son navigateur Internet + detail de la procedure de desactivation des Cookies (entrainant toutefois une impossibilite d’utiliser le service)";;;;;;;AlloCine conserve les donnees personnelles de l’Utilisateur pour la duree necessaire aux finalites decrites au present article et aux fins de conserver les elements necessaires en cas de mise en jeu de sa responsabilite contractuelle et/ou delictuelle. lloCine pourra à toutes fins de preuve conserver et archiver de maniere confidentielle les donnees du client, pour la duree fixee par AlloCine et au maximum pour la duree de prescription de droit commun des actions civiles en vertu de l'article 2262 du code civil.;;;
Amazon;Amazon (H.Jacob): opt-in et sans communication du nom et de l’adresse aux societes tiers : “Sous reserve de votre accord, donne dans Votre Compte, nous pouvons envoyer de temps en temps des offres à certaines categories de clients Amazon.fr pour le compte d’autres societes. Dans ce cas, nous ne communiquons à ces societes ni votre nom ni votre adresse.”;;Amazon (H. Jacob): un cas pour les revendeurs - consideres comme des partenaires non contrôles par Amazon - utilisant le site pour “exploiter leur propre boutique”. Amazon permet de “savoir quand un tiers est implique dans [les] transactions et quand [Amazon] partage avec ce tiers les informations relatives à ces transactions”.;;;"Amazon.com Inc. et ses filiales pouvant avoir communication des donnees sont soumis à la politique de confidentialite ou doivent appliquer des regles “au moins aussi protectrices que celles” de la politique de confidentialite.
Idem pour les prestataires de services tiers (type : traitement des commandes, livraison des produits, gestion des fichiers clients…) qui ne peuvent en plus traiter les donnees que pour les besoins de l’execution de leur prestation sans droit de reutilisation pour d’autres fins.";Pas d’engagement particulier pour les partenaires non contrôles par Amazon et les autres societes tierces pouvant avoir acces aux donnees;;;;Pas d’information prealable ni accord en cas de revente d’Amazon. Cela semble totalement exclu “les informations [...] seraient bien entendu egalement transmises à l’acquereur comme faisant partie des actifs transferes”.;;;Les donnees sont utilisees pour l’execution des prestations et pour l’amelioration des services proposes par le site. Les donnees peuvent aussi etre utilisees pour permettre à des “parties tierces de fournir des fonctions techniques, logistiques ou autres pour notre compte”.;;;;Rubrique “Informations issues d’autres sources”: Amazon peut utiliser des informations provenant des transporteurs ou parties tierces mais aussi d’une filiale (Alexa Internet) proposant un service de recherche et d’agences de renseignements commerciaux.;Agregation de façon anonyme des donnees de differents clients portant sur les commandes effectuees pour, par exemple, etablir une liste “nos meilleures ventes”;;"Communication à des tiers pour les besoins de la realisation des prestations (transporteurs par ex) sans droit pour ces derniers de les utiliser à d’autres fins + respect de la politique de confidentialite d’Amazon. 
Le nom et l’adresse des utilisateurs d’Amazon ne sont jamais divulgues aux societes tierces pour des l’envoi d’offres promotionnelles (mais d’autres donnees type mail ou numero de telepone peuvent a contrario l’etre) + opt out possible pour ce cas precis.";Possible transmission des donnees à des tiers avec information prealable et les personnes concernees peuvent ne pas donner leur accord à cette transmission. Une garantie supplementaire est accordee si ces tiers sont localisees hors EEE : Amazon s’assure que les informations sont transferees en conformite avec leur politique de confidentialite et dans le respect des lois relatives à la protection des donnees applicables au sein de l’EEE ;;;Collecte automatique des donnees de connexion pour les besoins du service, notamment lutte contre la fraude et les abus.;;;;;;Possibilite pour les utilisateurs de se creer un profil avec un systeme d’opt-out pour rendre le profil prive et donc accessible seulement par la personne concernee. La personne concernee contrôle ce qu’elle veut publier sur son profil.;Meme remarque que pour Airbnb;Amazon n’aborde la question de la localisation que pour les appareils portables, pas les fixes. Regime d’opt-out : la politique de confidentialite renvoie au reglage de l’appareil portable. Les donnees de localisation sont utilisees pour fournir des “services lies à la localisation, tels que des resultats de recherche et autres contenus personnalisees”. Le systeme pour desactiver la collecte des donnees de localisation par Amazon n’est ni simple ni intuitif puisque indirect : desactivation directement et seulement sur l’appareil.;;;;;Collecte de donnees  comme : type et version du navigateur, systeme d’exploitation…) ainsi que des informations techniques permettant d’identifier l’appareil pour lutter contre la fraude et realiser des diagnostics.;;;Amazon considere que les utilisateurs navigant sur le site ave cles parametres du navigateur permettant la collecte des cookies consentent tacitement à l’utilisation par Amazon de cookies. Systeme d’opt-out par renvoi aux reglages du navigateur. Les cookies servent notamment à l’identification, la fourniture d’une publicite ciblee, le suivi des preferences…;;;;Utilisation de “pixels invisibles” pour les memes finalites que les autres cookies qui sont explicitement definies dans la politique “Cookies et publicite sur internet” du site.;;;;;;La politique de confidentialite n’aborde pas le theme de la conservation. Il est precise que si l’utilisateur modifie ses informations personnelles, Amazon peut garder une copie des donnees initiales.
